Sample,SampleName,SampleType,SampleType2,Study
P1,Plastic-1,Plastic,Plastic,Malvarrosa
P2,Plastic-2,Plastic,Plastic,Malvarrosa
P3,Plastic-3,Plastic,Plastic,Malvarrosa
P4,Plastic-4,Plastic,Plastic,Malvarrosa
M10,Can-1,Can,Can,Malvarrosa
M11,Can-2,Can,Can,Malvarrosa
M12,Can-3,Can,Can,Malvarrosa
M13,Can-4,Can,Can,Malvarrosa
CS4,Control-1,Control,Control,Malvarrosa
CS5,Control-2,Control,Control,Malvarrosa
CS6,Control-3,Control,Control,Malvarrosa
P12,Biofilm-1,Plastic,Biofilm,Malvarrosa
ADRIEL,Adriel,Raw,Raw,Zurko
ADRIEPCR,Adriel-PCR,PCR,PCR,Zurko
ALEJANDR,Alejandro,Raw,Raw,Zurko
ALEXPCR,Alejandro-PCR,PCR,PCR,Zurko
HELENA,Helena,Raw,Raw,Zurko
HELENPCR,Helena-PCR,PCR,PCR,Zurko
