OTU	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	CS4	CS5	CS6	M10	M11	M12	M13	P1	P12	P2	P3	P4
bc28752edd2b75e9881b44efc28d25a5	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	NA	0	0	2	6	2	4	0	0	14	885	0	1352
4efbde0a053c98b8effc421da055f772	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	NA	0	0	4	32	5	43	25	59	203	45379	0	0
89837881f8daffff3808d2c6c4069abd	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	NA	16724	750	1658	6864	2137	2181	2713	815	594	14	2359	675
10866c3feb6b4bc7f821009f8f556133	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	NA	0	0	0	0	0	0	0	0	0	62	10	413
f2d3390fa0075b284ad2f84515352e55	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	NA	9360	466	1106	3453	1169	1304	1489	442	327	13	1285	355
332d12f5ee26df8bbd738eec6be6174e	d__Bacteria	p__Campilobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	NA	79	31	248	1918	62	476	231	309	130	15437	69	41
cdbedd668eb0a7b46d823911d094bba5	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus_sanfranciscensis	0	0	0	0	0	0	0	0	0	108	0	124
92c67910a7ca55d61879b870a00c8bea	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA	170	240	997	1976	3005	2636	666	3104	603	2278	960	332
4711b6a304ab8ec6c42abe83df1feacb	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Actinomarinales	f__uncultured	g__uncultured	s__uncultured_actinobacterium	1359	2988	2741	1251	1272	1525	784	595	360	62	1338	2485
0ce2ce20c5dfd13ca88d8e40a2292ff2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Woeseiaceae	g__Woeseia	NA	1185	2599	1733	1354	881	1705	542	528	215	457	1740	2264
9b10428aca3e77306f5594d6c3465307	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA	257	437	1069	557	3286	2101	485	4242	1009	0	759	610
63e6c5f4a837c6d068f51cace302a4f8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA	135	319	1032	540	2905	1406	1557	3585	1042	162	855	479
8d15010a44c89ea22e0ae9c4e3102ef8	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Enhydrobacter	NA	0	3	0	0	0	0	0	0	0	106	0	62
65784d6ce8a8c3c1e123d6b052613939	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus_coagulans	7	0	0	0	0	0	0	0	0	95	0	29
d5f609588adefea8df1ced82f3a8ebad	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	s__marine_bacterium	131	195	818	643	3129	990	523	3341	247	27	569	238
9e66a8abcf2c9e7b77cbd53e588a1de3	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	NA	0	0	0	0	0	0	0	0	0	0	0	167
78564ccf8fbee7ea761beb1f7c02240c	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Actinomarinales	f__uncultured	g__uncultured	NA	1019	1561	1434	1026	628	718	839	477	210	481	730	952
2ca4f9b5d01435d7dfef523f384b3a50	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Defluviimonas	NA	127	186	715	269	1952	1314	464	3513	525	197	613	243
