OTU	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	CS4	CS5	CS6	M10	M11	M12	M13	P1	P12	P2	P3	P4
4efbde0a053c98b8effc421da055f772	d__Bacteria	p__Campilobacterota	NA	NA	NA	NA	NA	282	136	1254	4200	439	1810	680	892	1410	67829	326	130
89837881f8daffff3808d2c6c4069abd	d__Bacteria	p__Proteobacteria	NA	NA	NA	NA	NA	75864	60863	77369	66955	67408	71103	55646	69935	64511	22118	57225	76127
4711b6a304ab8ec6c42abe83df1feacb	d__Bacteria	p__Actinobacteriota	NA	NA	NA	NA	NA	12912	22601	27408	16961	17560	12519	15217	12913	11458	4345	13556	19190
beb8eb571454a3e380c0da82f4d09c06	d__Bacteria	p__Desulfobacterota	NA	NA	NA	NA	NA	13575	11222	8058	13624	6034	12465	8720	10615	4418	8967	12833	7352
439f604a4b9c9fab605893525610ea1d	d__Bacteria	p__Bacteroidota	NA	NA	NA	NA	NA	15138	13808	20253	12689	19299	18167	28674	16696	30439	6368	16238	16712
eb4ad0da7bacdd6fee0560c38b83d8bd	d__Bacteria	p__Myxococcota	NA	NA	NA	NA	NA	2736	3776	2624	1782	2255	2422	1695	1509	2037	830	2567	2829
2f156d541503911b0722d7d45dd34401	d__Bacteria	p__Gemmatimonadota	NA	NA	NA	NA	NA	2607	5024	3359	4315	2353	3634	2282	1946	1105	734	4368	3469
8b507b6a3404074d350529068cb58c4a	d__Bacteria	p__Calditrichota	NA	NA	NA	NA	NA	1425	1213	1531	1222	811	1297	549	626	425	1089	1210	813
28ca90f8f04a4d36d7dfb0ea6de3f8b4	d__Bacteria	p__Firmicutes	NA	NA	NA	NA	NA	2816	892	1536	4420	2635	826	11171	1573	8176	997	1861	1478
d9adf6381ac98e0099b942979fb680ef	d__Archaea	p__Crenarchaeota	NA	NA	NA	NA	NA	430	449	1144	1293	986	1605	1023	1228	982	2099	1857	331
7fd3608d6602a2d554f0b2d8b71405a6	d__Bacteria	p__Acidobacteriota	NA	NA	NA	NA	NA	3634	6133	6127	6294	2849	4986	2610	3124	2334	2072	4733	4879
6198340bee4182bfff51e2ecea789d13	d__Bacteria	p__Nitrospirota	NA	NA	NA	NA	NA	607	616	800	509	403	333	279	204	413	87	807	366
109f2be44e329de0f74adc1819d29cb6	d__Bacteria	p__Deinococcota	NA	NA	NA	NA	NA	83	106	434	101	713	223	336	462	867	54	196	176
faa0af7e5df296ecd6370667844189af	d__Bacteria	p__Fusobacteriota	NA	NA	NA	NA	NA	18	20	15	317	0	16	100	9	112	0	895	79
23b00f9e130b43a38948951f032c7aeb	d__Bacteria	p__Cyanobacteria	NA	NA	NA	NA	NA	69	44	128	295	218	134	611	194	872	1023	161	185
9df13a3dc6ea20a4307e73562971bb4a	d__Archaea	p__Nanoarchaeota	NA	NA	NA	NA	NA	3678	2537	679	1591	1652	989	511	439	95	927	2035	433
a0f7709c27a33ec9cfd28224b20c51e9	d__Bacteria	NA	NA	NA	NA	NA	NA	1150	1243	950	1402	727	1309	953	677	433	1190	1222	1167
ee5551fcfb0240391e441b5f22093b3e	d__Bacteria	p__Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA	NA	64	50	55	247	100	278	138	148	147	38	183	41
04b2cba296b0d66979a76811d8dfe8a2	d__Bacteria	p__Patescibacteria	NA	NA	NA	NA	NA	1115	454	625	481	408	581	614	246	821	683	362	147
